"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"
"Bhutan","3.2","96.8","290.4","3.5","91.3","292.7","3.7","91.1","288.2","3.5","82.3","254.0","3.6","81.9","255.6","3.5","80.1","237.1","3.3","74.5","206.2","3.5","69.8","201.4","3.5","58.0","185.6","3.3","56.4","168.7","4.0","63.9","188.4","4.3","54.1","175.4","4.0","47.2","152.2","4.5","46.8","159.2","4.0","38.0","134.2","4.5","36.7","136.8","4.9","36.8","137.5","4.3","31.8","116.6"
"Bolivia (Plurinational State of)","6.4","220.3","491.7","6.9","213.0","494.9","6.6","201.6","456.9","6.0","184.2","394.1","5.7","164.3","352.1","5.4","139.0","310.2","5.5","123.0","289.6","5.5","103.1","275.6","5.4","91.9","264.3","4.8","80.0","229.7","4.9","65.3","220.0","4.8","57.5","206.8","5.1","53.1","212.1","4.9","47.6","191.9","5.2","47.7","195.0","4.9","44.7","178.6","4.8","46.2","172.2","4.4","44.3","153.7"
"Bosnia and Herzegovina","8.9","460.5","1172.4","9.2","443.8","1139.4","9.3","428.2","1088.1","9.5","492.1","1055.7","9.5","477.8","1025.7","9.5","447.6","965.2","9.2","463.5","908.1","9.0","415.9","838.7","9.0","423.8","811.8","9.7","481.7","854.4","9.5","386.9","755.6","9.2","302.4","655.5","9.1","261.8","569.1","9.1","243.4","536.2","8.0","180.4","435.7","7.1","126.9","368.3","7.3","111.8","346.9","7.7","113.0","350.2"
"Botswana","6.1","465.9","1044.3","5.6","386.6","924.1","5.7","373.8","920.2","5.6","419.5","921.5","6.2","435.8","983.7","6.1","472.3","872.8","5.8","432.3","785.4","6.2","393.1","791.9","6.5","338.4","772.6","5.8","325.1","748.4","5.3","304.7","647.9","4.8","256.8","530.1","5.0","268.6","507.2","5.8","283.7","549.9","6.2","257.1","563.0","6.4","196.2","556.1","6.2","192.6","502.1","5.8","195.1","470.6"
"Brazil","9.5","928.8","1472.2","9.2","795.7","1401.0","8.9","776.2","1392.6","8.4","1009.8","1363.8","8.0","974.5","1276.4","7.7","950.9","1192.0","7.8","1025.5","1166.1","7.9","891.8","1131.5","8.4","718.0","1109.1","8.0","704.0","1062.3","8.2","599.9","1025.3","8.3","483.4","957.1","8.0","383.3","879.8","8.1","294.4","844.9","8.2","250.5","793.4","8.7","246.1","827.4","8.5","269.3","787.8","8.3","311.7","751.0"
"Brunei Darussalam","2.4","671.4","1875.0","2.5","686.5","1975.2","2.4","739.2","1901.8","1.9","795.0","1539.2","1.9","846.6","1556.6","1.9","882.0","1546.7","1.9","876.4","1536.7","2.3","803.5","1797.7","2.4","741.6","2040.3","1.9","789.0","1635.3","1.9","702.9","1712.3","1.9","654.7","1656.4","2.2","646.1","1828.1","2.5","619.1","2047.0","2.6","535.1","2056.8","2.5","473.1","1944.3","2.5","464.7","1889.0","2.5","508.4","1835.7"
"Bulgaria","8.1","663.7","1689.7","8.2","612.5","1599.1","8.2","572.0","1486.8","8.5","666.4","1485.7","7.9","600.3","1300.4","7.6","558.6","1227.3","7.1","555.9","1115.3","7.1","484.8","1057.4","6.6","459.3","932.7","6.3","455.5","898.3","6.2","361.2","785.6","6.6","294.1","740.9","6.9","267.7","706.4","6.9","233.1","631.2","7.3","195.7","603.0","7.1","148.1","549.1","6.9","119.8","469.3","5.9","94.5","373.5"
"Burkina Faso","6.9","44.4","129.1","7.0","41.0","124.4","5.8","33.5","99.3","5.6","39.6","94.1","6.3","43.8","101.4","5.2","34.9","80.3","5.2","34.9","77.0","5.9","33.9","82.2","5.7","31.6","77.0","5.2","29.8","70.0","5.9","28.0","74.2","5.1","21.4","60.8","4.4","18.1","50.1","4.7","17.6","49.1","3.5","11.7","35.1","3.3","8.7","31.1","3.2","7.7","29.6","3.3","7.5","28.3"
"Burundi","7.5","23.5","59.2","7.5","22.3","58.9","6.6","19.4","48.5","6.9","20.4","60.4","8.1","21.8","66.9","8.5","21.3","64.5","10.1","24.9","73.7","11.3","26.1","80.2","10.4","21.6","71.2","9.2","18.1","63.0","10.6","18.1","69.8","9.9","16.5","63.9","8.4","12.7","51.5","7.7","9.8","46.7","6.3","7.1","36.7","6.5","7.9","38.6","6.4","8.6","37.0","6.2","8.4","35.0"
"Cabo Verde","5.2","167.6","357.1","4.8","149.3","319.9","4.8","144.4","304.4","5.3","188.2","333.7","5.3","188.2","327.2","5.1","174.0","313.2","4.3","158.1","258.0","4.5","148.2","255.5","3.9","132.6","218.1","3.6","130.3","204.6","4.2","130.3","222.3","4.5","115.5","227.6","4.3","98.2","198.2","4.4","95.8","184.1","4.5","87.1","168.1","4.8","71.4","170.0","4.8","65.9","161.9","4.4","62.0","147.3"
