"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"
"Israel","7.4","3144.6","3014.6","7.3","2856.2","2867.0","7.1","2640.3","2615.2","7.1","2788.5","2532.0","7.1","2648.8","2491.0","7.1","2376.7","2316.9","7.0","2410.7","2186.7","7.0","2211.0","2079.1","7.1","2017.2","2001.6","7.0","2121.7","1968.5","6.9","1780.1","1963.2","6.9","1576.0","1853.3","7.1","1537.7","1856.6","7.0","1471.5","1865.5","7.1","1417.6","1779.3","7.2","1387.6","1898.6","7.2","1541.6","1891.6","6.8","1496.9","1773.4"
"Italy","8.8","2840.1","3619.7","8.9","2736.3","3465.3","9.0","2708.8","3307.3","9.0","3190.1","3250.8","9.0","3195.6","3264.3","9.0","3125.6","3253.4","8.8","3387.6","3212.0","9.0","3214.5","3139.1","9.0","3324.4","3103.1","8.6","3490.0","3040.1","8.2","3088.5","2785.3","8.5","2830.2","2738.9","8.4","2676.5","2516.8","8.2","2561.0","2419.0","7.9","2158.2","2291.8","7.9","1754.3","2263.5","7.8","1585.3","2170.6","7.6","1520.5","2049.4"
"Jamaica","6.0","307.2","542.9","5.7","280.2","506.8","5.7","279.3","489.2","5.2","254.1","445.4","5.2","262.0","436.2","5.0","260.3","408.2","4.9","251.8","399.6","5.0","234.9","392.3","4.8","206.9","377.8","5.4","267.2","447.5","5.1","236.3","419.2","4.5","193.6","353.8","4.4","181.8","332.4","5.3","196.1","380.3","4.6","158.4","318.4","4.9","174.9","322.8","5.3","181.1","341.1","5.8","195.5","362.7"
"Japan","10.9","4169.0","4563.5","10.8","4174.9","4425.0","10.9","3733.7","4368.7","10.8","4099.5","4214.5","10.8","4336.1","4177.5","10.8","5212.1","3988.3","10.6","5087.1","3778.2","9.2","4060.2","3191.7","9.1","3685.8","2995.1","8.2","3213.4","2842.5","7.9","2772.5","2711.6","7.8","2754.2","2572.0","7.8","2883.1","2452.8","7.7","2875.7","2315.6","7.6","2642.0","2195.4","7.5","2404.5","2097.0","7.4","2479.6","2012.7","7.2","2740.5","1908.8"
"Jordan","8.1","340.7","756.7","7.2","297.1","658.3","7.6","314.3","695.9","7.3","301.5","675.5","7.2","293.5","667.4","7.9","309.4","730.4","8.3","317.6","768.6","8.4","308.7","778.4","9.5","331.8","896.5","8.8","296.4","816.7","8.3","229.3","742.3","8.1","204.4","677.0","8.9","195.2","694.2","9.0","186.0","653.6","9.1","172.2","607.2","9.7","175.0","617.9","9.9","170.8","599.5","9.6","159.8","552.4"
"Kazakhstan","3.1","279.6","820.4","3.4","262.1","860.2","3.0","316.4","756.3","2.7","343.0","667.5","2.9","394.0","675.8","3.1","376.1","680.4","2.7","310.9","568.6","2.7","247.4","537.0","3.5","249.3","639.6","3.0","254.3","552.9","2.7","178.9","470.0","3.4","175.4","533.6","3.9","143.4","542.1","4.0","111.7","493.7","3.7","75.4","413.9","3.6","59.0","363.5","3.5","51.1","314.5","4.2","50.5","324.3"
"Kenya","4.8","76.6","158.2","5.0","73.4","158.6","5.2","70.7","158.1","5.5","72.9","158.8","5.5","67.8","153.6","5.6","64.8","148.9","5.8","57.4","148.6","6.1","59.2","148.3","6.0","55.5","136.9","6.0","55.5","135.7","6.0","50.3","135.3","5.9","40.9","124.2","5.3","31.0","117.9","5.3","27.5","111.7","5.2","25.4","103.2","5.0","22.0","96.5","4.8","21.6","93.8","4.6","20.9","87.2"
"Kiribati","10.8","171.4","234.9","9.3","145.4","202.8","8.0","121.7","166.5","9.9","161.4","188.4","9.5","161.6","180.9","8.6","153.7","157.9","8.6","148.9","150.1","9.2","139.9","158.2","13.4","177.2","235.7","14.1","201.5","247.7","11.4","156.8","205.3","11.6","135.0","203.1","11.5","139.9","200.8","12.4","140.2","203.5","10.7","108.2","176.3","11.9","98.5","192.7","12.3","90.6","192.5","8.6","68.9","136.3"
"Kuwait","5.3","1529.1","3796.7","4.0","1072.7","2914.5","4.0","1168.8","2936.0","3.2","1375.0","2393.3","2.6","1251.4","1986.4","2.6","1319.3","2036.0","2.6","1263.8","2028.0","2.8","1061.4","2031.0","3.9","1454.5","3069.4","1.9","1074.3","1739.8","2.1","976.8","1946.4","2.3","962.6","1989.7","2.4","843.9","1978.5","2.8","742.3","2082.1","3.2","713.2","2182.3","3.6","635.4","2039.9","3.6","596.7","2001.9","2.5","462.6","1393.6"
"Kyrgyzstan","6.2","78.8","241.2","6.4","73.4","233.9","7.1","81.4","251.1","7.4","95.2","250.0","8.2","105.7","266.6","8.5","100.5","249.5","7.1","80.0","207.9","7.0","61.5","190.9","6.9","60.6","190.9","6.5","63.7","176.8","6.9","50.8","172.3","8.3","45.9","187.7","7.5","36.1","159.9","6.2","27.2","130.2","5.8","22.3","111.7","4.6","14.8","81.0","4.3","13.2","74.8","4.4","12.3","72.2"
"Lao People's Democratic Republic","2.5","62.1","177.9","2.4","55.2","154.8","2.5","53.0","150.8","2.3","46.4","132.0","2.4","44.1","127.3","2.1","33.0","101.5","1.9","27.5","89.5","2.9","35.0","126.7","3.5","36.2","145.9","2.8","27.2","108.2","3.2","25.2","117.7","2.9","19.6","101.3","3.3","17.7","103.1","3.5","16.6","101.0","4.5","18.0","117.8","3.7","13.2","91.5","4.3","14.8","95.5","4.3","14.4","87.2"
"Latvia","6.0","930.4","1682.3","6.2","874.2","1598.3","5.7","775.6","1405.8","5.5","855.6","1296.1","5.4","807.1","1217.7","5.4","745.5","1146.0","5.6","764.6","1093.9","6.1","689.1","1067.9","6.2","744.7","1028.1","5.6","913.5","1085.9","5.8","807.0","1041.7","5.7","552.3","899.9","5.9","440.8","807.6","6.2","393.3","756.4","5.5","280.5","602.4","5.8","237.3","578.3","5.8","205.0","518.5","5.4","181.6","434.3"
"Lebanon","8.2","719.4","1185.3","7.8","667.3","1105.9","7.7","655.8","1090.0","7.8","676.3","1141.1","7.6","673.3","1141.8","7.9","713.6","1222.2","8.1","711.6","1278.6","7.4","659.4","1199.5","7.0","593.0","1068.3","7.8","553.7","1091.9","8.5","520.1","1081.8","8.7","470.1","982.8","7.6","407.0","832.9","8.0","438.1","859.1","8.7","456.5","862.9","9.3","496.3","934.5","10.6","545.8","1061.8","10.8","569.6","1067.0"
"Lesotho","8.8","104.6","265.5","7.9","84.2","238.2","8.4","98.1","246.4","8.6","108.3","251.4","9.0","111.9","255.9","8.6","112.9","235.1","8.8","121.4","224.7","7.6","92.6","185.4","8.4","79.4","197.3","7.2","68.2","165.9","6.8","65.4","149.7","5.7","49.2","99.8","5.1","41.7","84.4","5.6","42.0","88.5","5.6","33.1","87.2","6.0","23.8","87.8","6.4","28.2","95.4","5.9","28.5","84.9"
"Liberia","8.2","56.6","104.7","9.8","69.6","123.0","10.3","72.3","133.4","9.1","64.8","119.4","8.2","58.6","108.2","8.6","55.9","105.1","9.2","54.4","105.2","8.8","44.5","93.6","9.4","43.7","96.8","7.4","34.7","76.5","9.3","36.3","85.1","7.4","24.5","61.8","8.9","25.8","65.4","7.8","21.9","58.9","3.1","7.5","21.7","2.8","8.3","26.2","3.3","9.9","30.4","4.0","12.2","37.3"
"Libya","","","","","","","","","","","","","","","","","","","6.1","312.6","627.3","3.6","400.9","958.1","4.3","355.9","970.0","2.6","321.5","562.0","2.4","275.7","610.7","2.5","235.0","605.3","2.6","212.3","603.8","3.5","202.0","693.6","4.1","189.8","846.4","4.9","181.1","852.3","4.1","254.0","809.0","3.4","244.8","696.5"
"Lithuania","6.5","1078.2","2132.6","6.6","988.5","1999.1","6.5","920.2","1861.5","6.2","1021.2","1739.0","6.1","958.9","1629.1","6.3","896.9","1542.2","6.5","925.5","1472.8","6.8","805.2","1349.9","7.4","864.7","1326.0","6.3","936.5","1298.5","5.8","704.3","1093.3","5.8","536.1","956.5","5.6","438.9","811.6","5.5","367.0","712.9","6.2","338.9","742.2","6.1","254.4","641.8","6.0","218.8","565.0","6.2","217.2","521.8"
"Luxembourg","5.5","5782.6","5956.5","5.5","5595.6","5804.1","5.5","5567.4","5697.8","5.6","6681.0","5695.6","5.7","6522.0","5486.8","6.6","7096.9","6091.2","6.1","7164.7","5694.4","7.0","7452.2","6078.3","7.3","7639.9","6091.5","6.5","7548.2","5725.2","6.2","6662.4","5277.9","6.7","6065.3","5268.9","7.2","5815.8","4941.7","7.3","5600.3","4737.3","7.0","4597.1","4217.5","6.7","3583.9","3979.3","6.4","3106.5","3604.0","5.9","2894.0","3286.7"
"Madagascar","5.5","24.7","85.5","6.1","24.5","91.9","5.7","22.9","83.8","5.1","23.0","73.7","4.2","19.5","59.9","4.4","19.6","61.6","5.2","23.6","70.9","5.3","22.0","72.2","5.0","20.8","68.9","4.7","22.2","69.0","5.2","19.7","71.7","5.9","17.2","76.5","6.0","16.5","74.3","6.1","15.0","72.4","5.5","17.5","62.0","5.8","15.1","59.7","5.6","15.5","67.1","5.2","12.9","59.9"
"Malawi","9.6","32.3","114.8","9.7","29.4","114.7","9.3","34.0","109.0","9.7","34.4","111.9","11.6","38.5","127.5","8.5","31.8","89.9","7.5","38.4","78.8","7.2","33.2","73.3","8.3","34.8","79.7","8.6","32.1","78.3","7.7","24.5","65.6","6.9","20.6","54.2","6.1","17.0","45.3","5.7","15.7","41.4","4.7","12.2","32.0","3.8","11.0","24.6","3.0","7.6","33.4","3.4","8.9","39.9"
"Malaysia","3.9","384.1","1139.0","3.8","361.5","1053.6","3.9","376.1","1040.6","3.8","422.0","964.6","3.6","388.7","860.3","3.5","382.3","816.5","3.4","352.6","739.4","3.2","292.9","667.6","3.3","251.4","664.4","3.1","270.9","632.3","3.1","234.4","610.2","3.2","203.9","578.6","2.8","164.3","485.8","2.9","155.3","485.8","3.0","143.0","461.6","2.7","121.9","398.6","2.7","114.7","380.9","2.6","111.4","356.0"
"Maldives","9.0","1006.9","1506.9","10.2","1052.5","1593.7","8.7","853.5","1279.9","7.9","716.2","1147.9","8.1","674.6","1109.4","8.7","648.1","1114.8","7.9","585.9","1003.4","8.5","602.7","998.1","10.1","667.7","1124.0","11.5","755.2","1404.1","8.3","461.7","935.0","8.0","387.3","841.2","8.8","322.1","728.8","7.5","295.8","707.7","6.8","236.0","604.3","8.8","247.2","639.9","8.2","229.6","562.7","7.7","221.1","768.7"
"Mali","3.8","31.4","84.2","3.8","29.4","80.3","4.1","30.8","84.3","4.5","37.9","88.3","4.0","31.9","73.8","3.7","28.6","67.7","3.9","32.9","74.0","4.6","32.6","84.5","5.1","35.5","90.3","4.9","34.0","85.6","5.1","30.5","86.0","5.3","27.7","87.0","5.1","24.7","79.2","5.3","23.3","78.2","5.2","20.3","75.6","5.0","16.7","67.4","5.2","15.9","68.7","5.6","15.0","64.5"
"Malta","9.3","2585.6","3943.1","9.2","2328.2","3552.2","9.2","2249.9","3383.8","9.4","2462.5","3165.3","8.8","2121.1","2766.5","8.6","1898.6","2548.9","8.6","1960.1","2455.2","8.2","1733.7","2286.5","8.1","1677.4","2120.1","8.0","1751.2","2093.5","8.2","1596.1","2050.7","8.8","1474.5","2054.0","8.7","1379.7","1938.3","8.1","1223.9","1738.5","7.9","1074.1","1656.0","7.7","830.6","1515.6","7.0","686.0","1301.6","6.6","647.1","1210.8"
"Marshall Islands","16.4","642.2","709.7","17.9","666.5","732.4","17.6","600.8","693.6","14.9","521.9","587.1","14.8","538.6","575.1","14.5","514.7","540.9","14.8","494.6","527.0","15.2","488.6","529.1","16.1","475.7","516.8","16.9","501.6","549.2","17.5","517.3","572.3","21.5","606.1","660.1","21.6","581.3","631.9","17.5","445.8","479.1","14.7","364.7","394.4","15.1","367.1","395.3","17.2","385.4","431.4","19.7","423.4","456.5"
"Mauritania","4.4","48.8","170.1","4.1","44.9","157.5","4.7","54.7","181.9","4.3","56.5","165.5","3.7","52.8","136.5","3.4","46.7","120.6","3.2","45.0","109.2","3.4","41.1","111.2","4.0","41.8","126.3","3.9","46.1","126.7","3.7","37.7","121.0","3.5","32.9","110.3","4.6","31.9","121.6","4.8","29.7","116.2","5.3","28.0","121.9","5.4","24.8","117.8","4.8","22.4","106.4","4.7","22.2","101.4"
"Mauritius","5.7","599.7","1278.0","5.7","553.1","1208.3","5.7","529.2","1152.2","5.5","559.5","1063.0","4.7","452.5","858.5","4.3","398.2","746.6","4.3","396.6","714.2","4.6","367.1","716.4","4.2","310.1","627.8","4.0","321.8","571.7","3.6","235.8","478.0","3.7","209.1","452.8","3.6","197.7","427.9","3.4","189.9","387.2","3.2","162.0","346.0","3.2","135.9","323.1","3.0","119.5","287.8","2.9","119.0","270.5"
"Mexico","5.5","494.7","1035.6","5.6","474.6","1020.0","5.8","539.0","1026.0","5.6","595.8","984.4","5.9","617.9","1000.9","5.8","580.7","973.2","5.7","565.1","915.0","6.0","538.7","886.8","6.1","477.6","868.9","5.7","556.5","829.2","5.8","542.8","804.4","5.7","501.0","762.9","5.8","472.1","721.9","6.0","435.3","702.9","5.8","401.5","651.5","5.1","375.2","552.9","4.8","353.9","522.1","4.4","309.6","479.7"
"Micronesia (Federated States of)","12.4","424.8","493.2","12.6","397.2","447.1","12.5","378.0","437.6","11.8","360.9","390.4","12.2","371.0","405.1","12.3","387.9","419.5","13.1","393.6","447.6","13.1","375.7","424.0","12.6","338.1","391.3","12.0","301.9","365.0","11.1","270.5","336.1","10.7","257.1","321.5","17.7","417.5","513.5","12.0","270.8","329.5","9.6","219.5","262.7","7.9","178.6","208.8","8.5","190.1","218.8","7.8","168.4","191.7"
"Monaco","1.8","2932.4","2991.1","1.7","2938.5","3017.8","2.0","3314.2","3405.2","2.1","3863.6","3466.8","2.1","3710.3","3249.4","2.2","3396.7","3004.1","2.2","3533.0","2888.0","2.3","3369.2","2795.5","2.3","3397.1","2687.2","1.9","3475.7","2607.5","1.8","2988.3","2399.3","2.0","2689.5","2330.4","2.1","2632.1","2300.6","2.1","2584.7","2214.5","2.1","2229.5","2101.5","1.8","1569.2","1852.6","1.8","1436.0","1744.2","1.7","1410.9","1629.2"
"Mongolia","4.0","148.8","518.1","4.4","163.5","542.2","4.2","167.3","516.6","4.2","175.2","502.5","4.1","178.4","452.2","3.9","168.4","384.6","3.6","135.2","318.5","3.7","99.1","282.4","4.5","76.6","318.0","4.6","97.5","331.6","4.1","66.6","270.8","3.7","50.0","223.1","3.8","37.5","202.1","3.6","33.2","204.5","3.5","26.5","179.5","4.4","29.7","210.3","4.3","26.5","194.5","4.9","27.0","210.1"
"Morocco","5.2","161.0","438.1","5.2","153.5","417.9","5.1","147.4","401.2","5.3","170.1","402.7","5.7","179.6","418.8","5.7","169.5","403.9","5.7","176.9","389.1","5.9","168.7","375.6","5.8","169.6","360.7","5.3","155.2","315.6","5.4","137.3","302.4","4.9","109.9","262.3","4.8","97.3","230.7","4.7","93.4","217.2","4.6","79.4","196.4","4.4","63.4","178.8","4.1","55.8","161.0","4.0","53.6","142.9"
"Mozambique","4.9","21.1","61.8","5.1","19.5","62.6","5.3","27.8","62.9","6.0","37.2","68.1","5.4","32.9","58.2","5.2","31.1","52.9","4.5","23.6","42.8","5.1","21.5","46.0","5.0","23.0","42.5","4.6","23.0","37.6","5.5","23.0","42.5","6.2","23.3","44.0","6.4","23.4","41.8","5.0","16.8","30.2","5.3","14.9","29.6","5.1","13.2","26.8","5.1","12.5","24.3","3.9","10.5","16.8"
"Myanmar","4.7","58.0","287.6","4.8","58.2","272.9","5.2","62.0","280.7","4.1","53.0","209.1","3.0","36.8","140.9","2.3","27.8","98.1","1.8","20.4","69.6","1.8","15.1","66.5","2.0","13.9","69.7","1.9","11.0","62.7","1.7","7.4","53.4","1.9","6.3","52.2","2.0","5.7","47.0","2.1","5.2","42.8","2.0","4.9","35.5","2.1","5.3","31.6","1.8","3.5","24.7","1.8","3.4","22.0"
"Namibia","8.6","447.3","895.4","9.1","414.5","965.7","9.9","477.2","1058.3","8.4","452.5","852.7","8.9","490.0","856.8","9.5","546.6","868.8","9.8","550.2","856.6","9.7","504.6","805.5","9.0","375.5","709.8","9.9","399.8","782.2","10.8","452.8","821.7","10.2","397.5","744.0","10.3","368.2","687.1","10.3","338.8","656.4","10.0","248.1","561.2","9.9","168.7","527.4","9.6","176.8","489.4","9.8","200.7","486.8"
"Nauru","11.0","1106.8","1309.6","13.9","1264.3","1556.5","13.3","1054.2","1381.2","9.1","936.9","928.0","8.4","793.3","708.4","7.5","857.6","714.0","8.2","688.5","660.8","10.4","650.2","708.9","10.4","566.1","585.4","19.5","814.5","1348.6","25.5","588.7","868.5","14.4","362.1","579.4","12.6","326.8","509.5","11.6","317.0","598.8","14.4","343.6","725.8","15.6","294.4","732.2","14.3","270.4","746.8","13.5","292.0","740.7"
"Nepal","5.6","47.9","150.1","6.3","45.5","156.0","6.2","45.1","153.7","5.8","41.0","138.1","5.3","34.6","119.5","5.2","33.5","110.8","5.1","34.3","103.1","5.0","30.0","96.8","4.5","21.2","82.5","4.4","19.2","77.4","4.2","17.5","69.5","4.0","14.0","63.8","4.5","14.5","67.6","4.6","13.3","65.6","4.4","11.4","59.0","4.5","10.8","57.7","4.3","10.6","55.9","3.6","8.6","46.8"
"Netherlands","10.1","4911.4","5513.1","10.3","4753.4","5304.1","10.3","4674.7","5205.2","10.6","5594.4","5213.5","10.6","5531.2","5219.3","10.5","5284.9","4989.3","10.2","5554.8","4779.4","10.2","5186.6","4585.0","10.0","5261.6","4465.5","9.3","5360.7","4316.8","9.1","4689.9","3979.7","9.1","4076.6","3723.1","9.1","3822.0","3425.7","9.1","3682.9","3264.3","9.1","3237.1","3095.6","8.6","2532.9","2987.5","8.1","2173.8","2685.2","7.7","2023.1","2466.1"
"New Zealand","9.2","3937.2","3767.5","9.3","3745.2","3660.6","9.3","3582.3","3481.5","9.4","4144.5","3467.7","9.4","3955.5","3335.7","9.7","3806.6","3141.4","9.5","3626.0","3088.9","9.6","3216.2","2983.4","9.6","2700.9","2940.1","9.1","2839.1","2709.6","8.3","2699.3","2439.9","8.6","2301.9","2395.6","8.3","2295.2","2123.6","7.9","1983.7","1985.0","7.7","1610.9","1853.1","7.9","1246.3","1834.5","7.6","1049.4","1693.3","7.5","1053.9","1607.1"
"Nicaragua","8.6","192.1","506.2","8.8","188.5","487.0","8.0","165.9","423.6","8.0","158.2","405.0","7.5","139.0","360.4","7.6","137.1","347.1","7.4","125.0","314.2","7.0","107.6","278.2","7.5","110.0","283.9","7.0","106.5","275.6","6.9","92.9","260.8","6.0","75.0","214.4","6.1","71.4","203.3","6.0","65.0","187.7","5.3","53.7","155.9","5.7","57.1","161.6","5.5","57.3","154.6","5.2","53.3","143.0"
"Niger","7.7","29.3","78.9","6.2","22.7","61.7","7.1","26.0","69.6","5.9","25.2","55.9","5.9","24.7","53.9","5.8","22.9","51.3","6.6","25.0","53.3","6.9","23.9","54.8","7.9","27.1","60.3","7.4","26.2","58.2","7.6","22.3","55.4","8.3","21.4","59.1","8.2","20.3","55.1","7.3","16.1","45.2","7.0","14.6","44.6","7.3","12.4","44.4","7.2","11.1","42.2","7.2","10.6","39.8"
"Nigeria","3.8","73.9","221.1","3.6","79.4","214.6","3.6","97.8","217.5","3.3","107.9","201.2","3.4","102.5","194.8","3.4","92.6","181.7","3.3","84.4","174.6","3.3","76.7","166.7","3.6","69.0","170.6","3.7","81.2","159.8","3.9","70.0","154.9","4.3","66.5","156.9","4.5","54.5","157.7","4.6","44.6","151.7","5.1","39.4","155.2","2.5","18.2","72.0","3.2","18.6","80.9","3.2","17.7","75.9"
"Niue","8.6","1258.9","1106.5","7.7","1083.7","972.3","8.2","1130.3","1037.0","10.5","1696.8","1294.5","9.2","1416.3","1077.9","8.3","1270.6","963.3","15.8","2373.1","1839.9","10.3","1361.5","1095.3","16.9","1803.1","2129.9","16.1","1724.6","1884.0","12.8","1301.7","1371.1","42.2","3696.4","4468.3","10.6","866.0","1005.5","17.3","1191.1","1399.8","9.8","561.7","746.2","12.5","523.0","854.1","67.0","2540.2","4349.8","8.3","332.7","510.6"
"Norway","10.4","7936.4","6518.9","10.5","7496.8","6143.8","10.1","7565.5","6144.1","9.3","9118.3","6192.9","8.9","9241.3","6012.9","8.8","8970.1","5774.4","8.8","8900.4","5492.1","8.9","7859.5","5190.6","9.1","7302.0","5055.8","8.0","7768.1","4945.3","8.0","6895.6","4525.5","7.9","5893.0","4300.0","8.3","5584.7","3995.4","8.8","5097.3","3761.8","9.2","4632.6","3562.2","9.0","3890.0","3429.1","8.0","3099.0","3037.7","7.7","2948.9","2856.9"
"Oman","3.8","587.6","1590.8","4.3","645.1","1856.9","4.3","706.4","1833.0","3.5","721.9","1504.4","2.8","592.5","1213.7","2.6","564.4","1118.2","2.5","535.3","1074.4","2.8","529.1","1218.6","2.8","475.0","1249.8","2.0","444.2","868.5","2.4","383.4","983.3","2.3","332.9","900.5","2.6","320.2","954.8","3.0","301.4","1066.4","3.2","287.8","1119.7","3.2","274.4","1155.3","3.1","261.3","1134.5","3.1","263.5","1067.4"
"Pakistan","2.9","44.6","160.6","2.9","41.0","149.7","2.7","37.9","134.8","2.7","36.5","131.6","2.6","31.6","120.5","2.4","28.5","105.0","2.3","28.5","101.0","2.6","26.6","109.0","2.6","25.3","108.9","2.9","27.0","120.0","3.1","29.8","126.8","3.0","26.1","115.2","2.7","20.7","104.3","2.3","16.2","83.0","2.4","15.0","79.6","2.8","15.7","88.3","2.7","14.0","82.4","2.9","16.0","86.1"
"Palau","12.0","1596.4","1777.8","11.8","1674.6","1809.4","10.9","1498.6","1652.5","12.0","1402.1","1652.8","12.0","1292.2","1555.5","11.4","1183.0","1500.7","10.8","1013.6","1352.8","11.6","1037.8","1360.5","10.4","932.2","1203.4","9.5","924.9","1169.0","10.0","955.5","1275.8","9.7","912.9","1208.1","9.3","868.3","1160.7","10.0","831.4","1159.2","9.1","705.2","980.8","8.1","667.8","887.7","8.0","638.9","838.3","8.9","675.7","872.7"
"Panama","7.3","1112.3","1794.8","7.2","1040.4","1681.0","6.8","927.8","1513.6","6.9","883.7","1461.8","6.7","790.1","1336.5","6.6","705.2","1236.9","6.6","619.1","1131.2","7.2","579.5","1097.9","7.0","529.9","1017.4","6.8","489.8","993.8","6.9","427.0","913.7","6.6","350.4","765.5","6.2","304.7","658.5","7.1","326.3","695.3","6.7","287.9","608.7","7.1","292.8","613.9","7.0","281.7","591.5","7.0","286.1","593.3"
"Papua New Guinea","2.5","61.5","103.9","2.5","59.8","104.5","1.9","49.9","78.2","3.3","97.9","129.0","3.0","83.9","102.0","2.7","76.4","87.8","2.3","56.8","72.4","2.1","42.3","65.9","2.3","39.0","66.8","2.1","36.7","58.3","2.4","34.9","66.6","2.4","31.3","60.3","2.5","28.5","88.6","2.6","26.4","92.9","2.4","22.4","83.1","2.7","20.8","87.1","2.3","18.2","73.6","2.0","18.7","64.8"
"Paraguay","6.7","381.1","866.6","6.7","360.5","832.9","6.7","367.5","802.6","6.6","408.5","768.9","6.1","362.4","666.4","6.5","341.4","659.7","5.1","270.7","509.5","4.6","202.9","444.0","4.5","162.8","386.1","4.2","169.1","362.9","4.2","125.0","340.2","4.2","96.6","323.3","4.1","75.6","293.0","4.2","71.4","292.6","4.3","59.0","282.8","4.2","54.8","263.9","5.0","79.2","318.6","5.5","91.9","349.5"
"Peru","5.0","332.6","681.2","5.1","310.0","670.4","5.0","306.8","637.2","5.0","326.2","613.1","4.7","310.9","559.9","4.8","304.2","531.2","4.6","265.5","480.7","4.7","239.3","464.8","5.0","207.4","448.3","4.4","189.0","402.0","4.4","159.1","358.8","4.5","142.0","331.3","4.5","123.3","302.5","4.8","117.2","298.7","5.1","112.0","300.7","5.2","105.8","286.7","5.0","97.5","259.8","4.5","89.5","233.0"
"Philippines","4.4","132.9","371.7","4.4","130.0","344.2","4.3","124.4","317.3","4.1","117.3","287.2","4.5","123.2","292.0","4.4","112.9","267.0","4.2","98.9","240.1","4.3","91.8","236.4","4.4","79.5","222.7","4.0","77.3","205.4","3.9","65.6","191.3","3.9","54.9","178.9","3.9","46.6","165.9","3.2","34.2","127.0","3.2","32.3","119.0","2.7","27.3","97.1","2.9","28.2","101.6","3.2","32.8","105.6"
"Poland","6.5","906.8","1958.2","6.5","813.5","1814.9","6.4","804.0","1717.4","6.4","911.3","1626.8","6.4","878.1","1575.0","6.2","815.1","1477.9","6.2","866.1","1424.5","6.4","809.2","1351.8","6.6","759.6","1268.3","6.4","892.6","1167.3","5.9","660.9","985.8","5.8","524.1","878.0","5.8","465.7","806.8","5.9","392.0","782.8","6.0","339.3","730.5","6.1","315.8","716.0","5.7","282.8","630.3","5.3","238.0","564.3"
